step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,221237140_stopped,221237140_accumulated_waiting_time,221237140_average_speed,221237260_stopped,221237260_accumulated_waiting_time,221237260_average_speed,221237272_stopped,221237272_accumulated_waiting_time,221237272_average_speed,221239539_stopped,221239539_accumulated_waiting_time,221239539_average_speed,221241076_stopped,221241076_accumulated_waiting_time,221241076_average_speed,221251086_stopped,221251086_accumulated_waiting_time,221251086_average_speed,221261813_stopped,221261813_accumulated_waiting_time,221261813_average_speed,cluster_221237147_7811951337_7811951340_stopped,cluster_221237147_7811951337_7811951340_accumulated_waiting_time,cluster_221237147_7811951337_7811951340_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
440.0,5,1235.0,205.83333333333334,1.602705214238716,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1056.0,0.0,2,191.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1247.0
445.0,5,1260.0,210.0,3.054332829193202,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1071.0,0.0,2,201.0,0.0,0,0.0,0.5653780566133143,0,0.0,1.0,5,1272.0
450.0,5,1285.0,214.16666666666666,1.3971020277418746,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1086.0,0.0,2,211.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1297.0
455.0,5,1310.0,218.33333333333334,2.8371962374885418,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1101.0,0.0,2,221.0,0.1750615256737423,0,0.0,1.0,0,0.0,1.0,5,1322.0
460.0,5,1335.0,222.5,1.6554870370679982,0,0.0,1.0,0,0.0,0.3064420598894834,0,0.0,1.0,0,0.0,1.0,3,1116.0,0.0,2,231.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1347.0
465.0,5,1360.0,226.66666666666666,1.6153561782281285,0,0.0,1.0,0,0.0,0.29901356134333706,0,0.0,1.0,0,0.0,1.0,3,1131.0,0.0,2,241.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1372.0
470.0,5,1385.0,230.83333333333334,2.6143945768229826,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1146.0,0.0,2,251.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1397.0
475.0,5,1410.0,282.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1161.0,0.0,2,261.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1422.0
480.0,5,1435.0,287.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1176.0,0.0,2,271.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1447.0
485.0,5,1460.0,292.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1191.0,0.0,2,281.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1472.0
490.0,5,1485.0,297.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1206.0,0.0,2,291.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1497.0
495.0,5,1510.0,302.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1221.0,0.0,2,301.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1522.0
500.0,5,1535.0,255.83333333333334,1.934699,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1236.0,0.0,2,311.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1547.0
505.0,5,1560.0,260.0,1.861251872499451,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1251.0,0.0,2,321.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1572.0
510.0,5,1585.0,264.1666666666667,0.8971221448357763,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1266.0,0.0,2,331.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1597.0
515.0,5,1610.0,268.3333333333333,2.2275827247948414,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1281.0,0.0,2,341.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1622.0
520.0,5,1635.0,272.5,1.6332399737585714,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1296.0,0.0,2,351.0,0.0,0,0.0,0.33973958798296755,0,0.0,1.0,5,1647.0
525.0,5,1660.0,276.6666666666667,1.86278975631168,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1311.0,0.0,2,361.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1672.0
530.0,5,1685.0,280.8333333333333,1.9063667436133338,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1326.0,0.0,2,371.0,0.13218474982769943,0,0.0,1.0,0,0.0,1.0,5,1697.0
535.0,5,1710.0,285.0,1.7079547111607665,0,0.0,1.0,0,0.0,0.3552814278283775,0,0.0,1.0,0,0.0,1.0,3,1341.0,0.0,2,381.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1722.0
540.0,5,1735.0,289.1666666666667,3.6265913985206946,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1356.0,0.0,2,391.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1747.0
545.0,5,1760.0,352.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1371.0,0.0,2,401.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1772.0
550.0,5,1785.0,357.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1386.0,0.0,2,411.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1797.0
555.0,5,1810.0,362.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1401.0,0.0,2,421.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1822.0
560.0,5,1835.0,367.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1416.0,0.0,2,431.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1847.0
565.0,5,1860.0,372.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1431.0,0.0,2,441.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1872.0
570.0,5,1885.0,377.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1446.0,0.0,2,451.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1897.0
